Name,Number,Category,Keywords,Description
Knight,29391,Asteroid,Defense loyalty protection devotion submission,Represents knight in shining armor energy. Shows complete submissive loyalty defense protection and will not betray. In synastry indicates devoted protector energy and faithful partnership.
Loving,432971,Asteroid,Loving energy affection tenderness care,Straightforward loving energy. Shows capacity for tenderness affection and caring devotion. Great for synastry and composite charts indicating genuine loving bond.
Child,4580,Asteroid,Inner child innocence pure love playfulness,Represents inner child energy. Pure untouched unfiltered raw innocent love. Shows childlike wonder playfulness and untainted affection. In relationships indicates pure innocent connection.
Devine,3561,Asteroid,Transcendental bond divine connection higher purpose,Represents transcendental divine connection. Shows bond of higher purpose that's not describable in earthly terms. Spiritual cosmic connection beyond physical realm. In synastry indicates sacred spiritual bond.
Eureka,5261,Asteroid,Discovery answer prayers finally found,Greek goddess. Represents "I finally found you" energy. Answer to prayers. The one you've been searching for. Sudden recognition and discovery of the right person or solution.
Hypnos,14827,Asteroid,Mysterious psychic link mystical bond dreams,Greek god of sleep. Represents mysterious connection psychic link mystical bond that doesn't begin this lifetime but way back. Dream connections and unexplainable attraction beyond consciousness.
Agapenor,5023,Asteroid,Simple appreciation unconditional love timeless,Represents simple appreciation and unconditional love that lasts through ages. Not necessarily romantic but pure agape love. Can transcend time and lifetimes.
Paeonia,1061,Asteroid,Honor wealth beauty peony love symbolism,Named for peony flower. Represents love honor and wealth. Beautiful flourishing love that brings prosperity and dignity. Shows relationships that elevate both parties.
Oenone,215,Asteroid,Betrayal cheating abandonment left behind,Nymph abandoned by Paris for Helen. Represents where you've been cheated on left behind or felt deep betrayal by lovers. Shadow side of love and romantic wounds.
Sposetti,22354,Asteroid,Married couple Italian marriage potential connection,Italian for "married couple." Represents marriage potential past life marriages or special connections meant for union. Strong marriage indicator in synastry especially conjunct angles or Juno.
Paine,5188,Asteroid,Deep pain suffering emotional wounds physical hurt,Represents profound pain in relationships. Conjunct Moon shows emotional pain one causes other. Conjunct Ascendant or Mars indicates physical pain. Shows where relationship wounds cut deepest.
Born,13954,Asteroid,Born to be together destined union meant to be,Represents "born to be together" energy. In harmonious aspects with Juno Groom Briede shows destined to be with specific person. Born for each other fate written in stars.
Pholus,5145,Centaur,Life changing turning point catalyst transformation event,Centaur representing small cause big effect. Shows life-changing relationship turning points. Events that catalyze major life transformation. The relationship that changed everything. Unexpected events changing life trajectory.
Nefertiti,3199,Asteroid,Beauty queen power feminine divine sovereignty,Egyptian queen. Represents divine feminine power regal beauty sovereignty and queenly presence. Shows refined royal energy and powerful feminine magnetism.
Kleopatra,216,Asteroid,Seduction power intellect strategic beauty charisma,Cleopatra. Represents seductive power combined with intellect. Strategic use of beauty and charisma for influence. Magnetic presence and political savvy in relationships.
Cleopatra,216,Asteroid,Seduction power intellect strategic beauty charisma,Alternative spelling. Same as Kleopatra. Represents powerful seductive intelligent feminine energy. Strategic relationships and influential partnerships.
Nefertari,1068,Asteroid,Beloved beauty devotion great royal wife,Egyptian queen beloved of Ramses. Represents devoted beautiful partnership great royal wife energy and being truly beloved by powerful partner. Deep devotion and honored love.
Akhenaten,326290,Asteroid,Revolutionary devotion singular focus transformation religion,Egyptian pharaoh revolutionary. Represents radical transformation devoted focus on singular vision or person. Revolutionary love that changes everything. Spiritual devotion in partnership.
Osiris,1923,Asteroid,Death rebirth eternal love resurrection cycles,Egyptian god paired with Isis. Represents death rebirth eternal cycles and resurrecting love. Transformative partnerships that survive death and return. Eternal bonds.
Ra,1239,Asteroid,Solar power life force vitality creative energy,Egyptian sun god. Represents radiant solar power life-giving energy and creative vitality. Illuminating presence and divine masculine creative force. Central importance.
Ptah,5011,Asteroid,Creation beautiful face craftsmanship divine word,Egyptian creator god "beautiful face." Represents creative power master craftsmanship divine word made manifest. Beauty that creates and transforms. Artistic divine partnerships.
Sekhmet,5381,Asteroid,Fierce love warrior goddess protective destruction healing,Egyptian lioness goddess. Represents fierce protective love warrior energy destructive power that also heals. Passionate protective partnerships. Fierce loyalty and powerful love.
Hathor,2340,Asteroid,Love joy music dance feminine power sensuality,Egyptian love goddess. Represents joyful love music dance pleasure feminine sexuality and celebratory energy. Sensual delightful loving connections. Sacred feminine joy.
Bastet,4257,Asteroid,Feline sensuality protection pleasure domesticity joy,Egyptian cat goddess. Represents feline sensual energy protective love domestic joy and playful pleasure. Comfortable sensual partnerships. Purring contentment in love.
Anubis,1912,Asteroid,Underworld guide death transformation psychopomp protection,Egyptian jackal god. Represents guiding through underworld death transformation and protection in darkness. Relationships that guide through shadow work. Protective transformative bonds.
Thoth,4179,Asteroid,Wisdom knowledge magic communication divine scribe,Egyptian god of wisdom. Represents divine knowledge magic communication and sacred writing. Intellectual spiritual communication in partnerships. Wise magical connections.
Maat,5011,Asteroid,Truth justice balance cosmic order integrity,Egyptian goddess of truth. Represents divine truth justice balance and cosmic order. Relationships built on integrity honesty and fairness. Balanced truthful partnerships.
Nephthys,3362,Asteroid,Shadow sisterhood death mysteries hidden support,Egyptian goddess sister of Isis. Represents shadow work sisterhood death mysteries and hidden support. Relationships involving shadow integration. Supportive hidden bonds.
Set,2062,Asteroid,Chaos destruction jealousy shadow masculine disorder,Egyptian god of chaos. Represents destructive chaos jealousy shadow masculine and disorder. Can show chaotic destructive relationship dynamics. Shadow masculine energy.
Horus,1924,Asteroid,Solar kingship divine right protection sky god,Egyptian sky god. Represents solar kingship divine right protection and royal power. Protective kingly energy in partnerships. Divine masculine sovereignty.
Ptah,5011,Asteroid,Creator craftsman beautiful face divine architect,Already listed but Egyptian creator emphasizing beautiful face and divine craftsmanship. Master builder of reality. Creative partnerships that build together.
Amor-Cupido,N/A,Synastry,Soulmate connection divine love twin flame union,When Amor and Cupido connect in synastry indicates soulmates. Divine love meeting infatuation creating perfect union of unconditional love and passionate desire. Major soulmate indicator.
Eros-Psyche,N/A,Synastry,Soul love erotic soul union deep attraction soulmate,Eros conjunct Psyche in synastry indicates soulmate connection. Soul meets passion. Erotic spiritual union. Opposite aspects show constantly encountering each other through lifetime unable to escape connection.
SYNASTRY_ASTEROIDS_CRITICAL,N/A,Method,Most important synastry asteroids tight orbs application,CRITICAL SYNASTRY ASTEROIDS USE 0-3 DEGREE ORBS ONLY: Eros Psyche Amor Valentine Union Destinn Karma DNA Juno Cupido Lust Priapus Child Devine Eureka Hypnos Alma Loving Knight Born Sposetti. ASPECTS TO INNER PLANETS ONLY Sun Moon Mercury Venus Mars. ASPECTS TO ANGLES ASC DSC MC IC. ASPECTS TO NODES. Asteroids carry less power than planets so must have tight orbs and prominent placement to manifest. Double whammies with these asteroids are highly significant.
COMPOSITE_CHART_ASTEROIDS,N/A,Method,Composite asteroid interpretation relationship purpose destiny,COMPOSITE CHART shows relationship entity itself. ASTEROIDS IN COMPOSITE reveal purpose and nature of bond. Vesta in composite shows shared devotion and spiritual connection. Juno shows commitment and loyalty. Eros-Psyche shows passionate soul connection. Destinn shows relationship destiny and purpose. Karma shows karmic purpose of union. Union shows desire to unite and marry. Check composite asteroids by house for where relationship energy manifests and by sign for how it expresses.
DRACONIC_CHART,N/A,Advanced,Soul chart karmic blueprint past life spiritual essence,Draconic chart calculated by setting North Node to 0 Aries. Reveals soul's evolutionary path and spiritual essence. Draconic synastry shows why souls chose to meet. Reveals past life connections karmic contracts and spiritual purpose. Shows timeless soul resonance beyond personality. Use to understand deeper soul purpose of relationships and karmic lessons.
VERTEX_SYNASTRY,N/A,Method,Fated encounters destiny relationships karmic meetings electric,Vertex in synastry shows fated karmic encounters. When partner's planet especially Sun Moon Venus Mars Jupiter conjuncts your Vertex indicates destined meeting. Electric feeling of fate. Relationship feels meant to be. Events beyond conscious control bring you together. Major destiny indicator.
ASTEROID_PERSONA_CHARTS,N/A,Advanced,Deep dive asteroid expression full chart perspective,Cast chart using asteroid's degree as Ascendant. Shows full expression of that asteroid's energy. Juno persona chart reveals marriage needs. Eros persona chart shows erotic nature. Psyche persona chart reveals soul journey. Groom-Briede persona charts show spouse qualities in detail. Advanced technique for comprehensive understanding of single asteroid.
SOLAR_RETURN_ASTEROIDS,N/A,Predictive,Annual themes relationship timing marriage indicators year ahead,Solar return with Juno on angles indicates marriage or commitment year. Eros-Psyche activated shows passionate soul connection year. Destinn prominent shows fated encounters. Union on Descendant meeting future spouse. Check solar return asteroids for annual relationship themes and timing of significant connections.
Sun/Moon PRIMARY Midpoint,N/A,Primary Midpoint,Point of Meaning uniqueness individual viewpoint consciousness,THE EIGHT PRIMARY MIDPOINTS discovered by Rudhyar and Ebertin. Sun/Moon represents world within and world without. Uniqueness of individual. Specific point of view. How creative process gives meaning to individual expression. Interplay between macrocosm and microcosm. Responsibility for individual consciousness. Type of experiences person has. INVERSE MIDPOINT is source of inspiration giving personal and spiritual meaning to creative process.
Mars/Saturn PRIMARY Midpoint,N/A,Primary Midpoint,Point of Identification adaptation self-control discipline manifestation,Mars/Saturn represents Point of Identification and Adaptation. How person identifies self and adapts to circumstances. Self-control discipline and manifestation of will. Capacity for sustained effort and concrete achievement. Where drive meets structure. Frustrated ambition or mastered discipline.
Venus/Jupiter PRIMARY Midpoint,N/A,Primary Midpoint,Point of Associative Participation social harmony expansion values,Venus/Jupiter represents Point of Associative Participation. How person participates in social sphere. Harmony expansion of values and relationships. Generosity in love and social connections. Optimistic approach to partnerships. Beneficial social engagement.
Sun/Mercury PRIMARY Midpoint,N/A,Primary Midpoint,Point of Sex vitality communication mental-physical integration,Sun/Mercury represents Point of Sex. Integration of vitality with communication. Mental-physical integration and expression. Identity through thought and communication. How life force expresses through mind and speech. Conscious awareness meeting intellect.
Mars/Venus PRIMARY Midpoint,N/A,Primary Midpoint,Point of Creativity passion artistic expression desire manifestation,Mars/Venus represents Point of Creativity. Passion artistic expression and desire manifestation. How action meets values and beauty. Creative energy and romantic passion. Synthesis of masculine and feminine within. Artistic drive and creative sexuality.
Jupiter/Saturn PRIMARY Midpoint,N/A,Primary Midpoint,Balance expansion-contraction growth-limitation wisdom-structure social responsibility,Jupiter/Saturn represents balance between expansion and contraction. Growth meeting limitation. Wisdom meeting structure. Social responsibility and maturity. Realistic optimism. Integration of faith and discipline. Major life lessons and karmic balance.
Mars/Uranus PRIMARY Midpoint,N/A,Primary Midpoint,Point of Transformation intense external change revolution breakthrough,Mars/Uranus represents Point of Transformation. Forces most intense focus toward external change. Revolutionary action and breakthrough events. Sudden explosive transformation. Liberation through action. INVERSE MIDPOINT is point most directed toward internal change and personal revolution.
Jupiter/Neptune PRIMARY Midpoint,N/A,Primary Midpoint,Point of Reorientation external release spiritual expansion vision,Jupiter/Neptune represents Point of Reorientation. Manner of reorientation operative in life. Point of external release. Spiritual expansion and visionary faith. Idealism meeting transcendence. INVERSE MIDPOINT is point of release for internal spiritual reorientation and mystical awakening.
Saturn/Pluto PRIMARY Midpoint,N/A,Primary Midpoint,Point of Self-Refocalization concrete transformation deep restructuring power,Saturn/Pluto represents Point of Self-Refocalization. Most operative concrete refocus of energies and consciousness. Deep structural transformation and profound regeneration. Karmic restructuring and concentrated power. INVERSE MIDPOINT is awareness of refocalization process in consciousness and psychological transformation.
Moon/Relationship Midpoint,N/A,Relationship Midpoint,Mother feminine principle nurturing emotional foundation women,In relationship analysis Moon represents Mother and the Feminine Principle. Shows relationship with mother nurturing received and given. Emotional foundation and how one mothers others. Connection to feminine energy and women in general.
Saturn/Relationship Midpoint,N/A,Relationship Midpoint,Father business associates masculine principle authority men,In relationship analysis Saturn represents Father and Business Associates. Masculine principle and authority figures. Shows relationship with father structure received and discipline learned. Professional relationships and connection to masculine energy and men.
Mercury-Mars/Relationship Midpoint,N/A,Relationship Midpoint,Brothers male relatives masculine communication action,Mercury/Mars midpoint represents Brothers and Male Relatives. Communication with masculine family members. Mental action and brotherly bonds. How one relates to male siblings and cousins.
Mercury-Venus/Relationship Midpoint,N/A,Relationship Midpoint,Sisters female relatives feminine communication harmony,Mercury/Venus midpoint represents Sisters and Female Relatives. Communication with feminine family members. Harmonious expression and sisterly bonds. How one relates to female siblings and cousins.
Sun-North Node/Relationship Midpoint,N/A,Relationship Midpoint,Children offspring creativity legacy destiny purpose,Sun/North Node represents Children and offspring. Creative legacy and what you birth into world. Relationship with children and parenting style. Destiny through creative expression and generative power.
Venus-Uranus/Relationship Midpoint,N/A,Relationship Midpoint,Female friends women friendships unconventional connections,Venus/Uranus represents Female Friends. Friendships with women and unconventional female connections. Independent female relationships and unique feminine bonds. Sudden attractions to women friends.
Mars-Uranus/Relationship Midpoint,N/A,Relationship Midpoint,Male friends men friendships revolutionary connections,Mars/Uranus represents Male Friends. Friendships with men and unconventional male connections. Independent male relationships and unique masculine bonds. Sudden attractions to male friends.
Jupiter/Relationship Midpoint,N/A,Relationship Midpoint,Grandparents wisdom elders teaching expansion legacy,Jupiter represents Grandparents and wise elders. Relationship with grandparents and ancestral wisdom. Teaching and learning from elders. Expansion through generational connections and inherited wisdom.
Saturn-Outer Planets Theme,N/A,Midpoint Theme,Harsh difficult realities shape life experience challenges,Saturn combined with outer planets (Uranus Neptune Pluto) represents Harsh Difficult Realities that Shape Life Experience. Major challenges obstacles and karmic lessons. Where life circumstances force growth through hardship and struggle.
Saturn-Inner Planets Theme,N/A,Midpoint Theme,Frustration inner criticism self-mastery achievement discipline,Saturn combined with inner planets represents Frustration Inner Criticism and path to Self-Mastery and Achievement. Where discipline is learned through self-criticism. Mastery through overcoming limitations and achieving goals despite obstacles.
Feminine-Feminine Theme,N/A,Midpoint Theme,Emotional sensitivity intuition artistic sensibilities receptivity,Feminine planets combined (Moon Venus Neptune) represents Emotional Sensitivity Intuition and Artistic Sensibilities. Deep receptivity and empathic nature. Heightened sensitivity and artistic gifts. Refined emotional and aesthetic awareness.
Masculine-Feminine Theme,N/A,Midpoint Theme,Creativity artistic expression charisma social personal success,Masculine plus Feminine planets (Sun Mars Jupiter with Moon Venus Neptune) represents Creativity Artistic Expression and Charisma contributing to Social and Personal Success. Balanced integration creating magnetic appeal and creative achievement.
Venus-Moon Outer Planets Theme,N/A,Midpoint Theme,Emotional difficulties fears inhibitions relationship challenges,Venus or Moon combined with Outer Planets (Saturn Uranus Neptune Pluto) represents Emotional Difficulties Fears and Inhibitions in Relationships. Challenges in love and emotional vulnerability. Healing needed in relationship patterns.
Mercury-Jupiter Saturn-Uranus-Pluto Theme,N/A,Midpoint Theme,Intellectual gifts communication skills influence mental power,Mercury or Jupiter combined with Saturn Uranus Pluto represents Intellectual Gifts Communication Skills and Influence. Mental brilliance and powerful communication. Ability to influence others through words and ideas.
Masculine-Masculine Theme,N/A,Midpoint Theme,Power assertiveness drive courage sexual passion strength,Masculine planets combined (Sun Mars Jupiter Uranus Pluto) represents Power Assertiveness Drive Courage and Sexual Passion. Concentrated masculine force and willpower. Competitive strength and sexual vitality.
Mercury-Venus-Neptune Theme,N/A,Midpoint Theme,Idealism perfectionism artistic refinement high standards,Mercury Venus Neptune in any combination represents Idealism and Perfectionism. High artistic standards and refined taste. Quest for ideal beauty and perfect expression. Can indicate unrealistic expectations.
MIDPOINT_ACTIVATION_TRANSITS,N/A,Method,How transits activate midpoints timing interpretation application,Midpoints are activated by transits just as natal planets are. When Saturn Uranus Neptune or Pluto transits a natal midpoint it triggers the combined energy of both planets. Transit to Sun/Moon midpoint affects relationships and identity. Transit to Mars/Saturn affects drive and discipline. Use 1-degree orb for transits to midpoints. Activation brings external manifestation of midpoint themes.
MIDPOINT_DEPTH_ANALYSIS,N/A,Method,When to use midpoints chart interpretation sequence priority,Use midpoints AFTER initial chart analysis has identified most important themes. Midpoints add depth and detail. They either reinforce and amplify existing chart themes OR introduce new contradictory elements - important counterpoints modifying original impression. Don't start with midpoints. They refine understanding not establish foundation.
INVERSE_MIDPOINTS,N/A,Advanced,Opposite point internal spiritual dimension consciousness,Every midpoint has an INVERSE MIDPOINT at opposite point on zodiac wheel. While direct midpoint shows external manifestation inverse shows internal spiritual dimension. Sun/Moon inverse is source of spiritual inspiration. Mars/Uranus inverse is internal transformation. Jupiter/Neptune inverse is internal spiritual reorientation. Saturn/Pluto inverse is awareness of transformation in consciousness.
SANDBACH Sun/Moon PRINCIPLE,N/A,Interpretation,Flow energy subconscious to conscious meaning vitality balance,JOHN SANDBACH MIDPOINT INTERPRETATIONS: Sun/Moon PRINCIPLE represents flow of energy and information from subconscious to conscious and process of finding meaning and order in it. Balance between work Sun and play Moon business Sun and pleasure Moon objective Sun and subjective Moon. General level of vitality and all factors affecting it. PROCESS One becomes aware of each emotion as it arises accepts all of them sees their value and allows them to become integrated into conscious reality.
SANDBACH Sun/Moon ACTIVATIONS,N/A,Interpretation,Planets activating Sun/Moon vitality relationships balance integration,Mercury=Sun/Moon ability to balance feeling with thinking when communicating. Venus=Sun/Moon full complete love when one loves beauty feeds energy need appreciation to maintain health vitality. Mars=Sun/Moon tremendous vitality through actions wholehearted assertiveness balance feeling-thinking when asserting. Jupiter=Sun/Moon wholehearted enthusiasm thriving on hope optimism vitalized by learning philosophy may overextend.
SANDBACH Sun/Venus PRINCIPLE,N/A,Interpretation,Love vitalizing meaningful art aesthetics self-love values goals,Sun/Venus PRINCIPLE represents love as vitalizing and meaningful experience. Art aesthetics self-love both neurotic and healthy sense. Values as they relate to long-term goals. Being egotistical about own attractiveness or value. PROCESS To see enduring ultimately meaningful worth underneath all passing temporary surface attractions.
SANDBACH Sun/Venus ACTIVATIONS,N/A,Interpretation,Planets activating Sun/Venus beauty security impressionable relationships,Moon=Sun/Venus feeling need to be surrounded by beauty feeds on it like food beauty creates security very impressionable to beauty in arts all forms. Mercury Venus Mars Jupiter Saturn Uranus Neptune Pluto each create unique activation patterns affecting how love vitality and values express.
SANDBACH Sun/Mars PRINCIPLE,N/A,Interpretation,Purposeful assertiveness long-range meaningful battles effort vitality,Sun/Mars PRINCIPLE represents purposeful assertiveness. Ability to gear actions toward long-range considerations. Ability to take on meaningful battles. Too much effort depletes vitality. PROCESS Active dismantling of negative ego so spiritual self perfectly reflects spiritual light. Active sorting of experiences by relative importance to continually realign with purpose.
SANDBACH Sun/Mars ACTIVATIONS,N/A,Interpretation,Planets activating Sun/Mars emotional security long-range projects,Moon=Sun/Mars emotional need to do things on own feeling secure when has long-range project to work on. Other planets activating create patterns of purposeful assertion energy focus and goal-directed action.
SANDBACH Sun/Neptune PRINCIPLE,N/A,Interpretation,Subtle forces vitality psychic sensitivity idealism self-sacrifice mystical,Sun/Neptune PRINCIPLE represents subtle forces affecting vitality. Psychic sensitivity potentially draining energy. Idealistic possibly unrealistic about goals. Importance placed on self-sacrifice feeling it makes life meaningful. Mystical or visionary insight. Self-glorifying imaginings. PROCESS Development of ability to perceive Spiritual Light's meaning and purpose in greater depth realizing infinite connections of all aspects of all universes.
SANDBACH Sun/Neptune ACTIVATIONS,N/A,Interpretation,Planets activating Sun/Neptune receptivity idealism sacrifice confusion,Moon=Sun/Neptune receptive to subtle forces can empower or drain depending on whether taken in randomly or through conscious will. Venus=Sun/Neptune love of bringing subtleties to light exploring imagination realms beyond physical love thrives on idealism may idealize loved one self-sacrificing in relationships. Mars=Sun/Neptune taking action to help people from humanitarian concern actions ineffective due to unrealistic goals confusion about purpose driving urge to realize spiritual goals.
SANDBACH Sun/Uranus PRINCIPLE,N/A,Interpretation,Sudden awareness unique goals independence originality freedom change,Sun/Uranus PRINCIPLE represents sudden shifts in awareness or direction. Unique individual goals. Independence originality and need for freedom. Unexpected changes affecting life purpose. PROCESS Development of true individuality and authentic self-expression free from conditioning.
SANDBACH Sun/Uranus ACTIVATIONS,N/A,Interpretation,Planets activating Sun/Uranus sudden shifts independence unique expression,Moon=Sun/Uranus daily life cyclically affected by sudden unusual shifts in awareness or direction sudden unexpected displays of emotion emotional need for others to see one is different distinctive. Mercury=Sun/Uranus sudden shifts of direction in communicating cleverness finding unexpected purpose think very swiftly receive sudden inspirations confident freedom independence in communication. Venus=Sun/Uranus love expressed suddenly unexpectedly love relationships form quickly may dissolve swiftly need for openness freedom in relationships.
SANDBACH Sun/Midheaven PRINCIPLE,N/A,Interpretation,Ego and profession life work pride spiritual path conscious purpose,Sun/Midheaven PRINCIPLE represents relationship between ego and profession or life's work. Being proud of work able to do it with confidence. Conscious of and objective about security. Awareness of spiritual path in lifetime. Conscious and centered approach to life purpose. PROCESS Development of spiritual self-confidence and ability to play role of guide and parent to those who need it.
SANDBACH Sun/Midheaven ACTIVATIONS,N/A,Interpretation,Planets activating Sun/MC career importance recognition meaning purpose,Moon=Sun/MC emotional need to feel work is important or that one is adept at doing it feel meaningful relationship to world at large. Venus=Sun/MC love of being part of big important projects positively affecting world desire for relationships to be spiritually meaningful attraction to anything revealing meaning and purpose of existence easy to receive recognition in career appreciation of authority figures adept at what they do. Mars=Sun/MC very conscious about meaning and purpose of what doing desire actions move toward spiritual goals feel conflicted about most important to accomplish negatively aggressive projection of self-importance onto world.
SANDBACH Moon/Venus PRINCIPLE,N/A,Interpretation,Emotions concerning relationships nurture cyclic changes moods beauty,Moon/Venus PRINCIPLE represents emotions concerning relationships. Desire to nurture other person in relationship. Relationships strongly colored by moods. Difficulty being objective about relationships. Relationships going through cyclic shifts and changes. PROCESS Ability to perceive beauty of moment and treasures and gifts ever flowing through present. Giving love to past as means of healing it.
SANDBACH Moon/Venus ACTIVATIONS,N/A,Interpretation,Planets activating Moon/Venus feelings exchanged care nurture beauty,Sun=Moon/Venus awareness of feelings exchanged in relationships desire to perceive their meaning and purpose feels important to take care of person one is relating to. Other planetary activations create unique patterns of emotional relationship expression and nurturing.
SANDBACH Moon/Mars PRINCIPLE,N/A,Interpretation,Passion impulsiveness overreact fiery feelings instinct assertive nurture,Moon/Mars PRINCIPLE represents passion and impulsiveness. Tendency to assert oneself on spur of moment or overreact. Fiery feelings. Tendency to be excitable or irritable. Actions based on instinct. Assertive nurturing. PROCESS Refinement of ability to act in moment and follow instincts so they may perform their work.
SANDBACH Moon/Mars ACTIVATIONS,N/A,Interpretation,Planets activating Moon/Mars channel passions emotional energy goals,Sun=Moon/Mars need and desire to channel passions into meaningful endeavors feels passionate about any goals adopts strong feelings about whatever thinks is important strong emotional energy fuels pursuit of goals. Other activations affect how passion and instinct combine with various planetary energies.
SANDBACH Venus/Jupiter PRINCIPLE,N/A,Interpretation,Enthusiastic appreciation generosity luxury lavish popularity expansion love,Venus/Jupiter PRINCIPLE represents enthusiastic appreciation. Generosity in love. Generous display of feeling. Encourage and support loved one. Luxury and lavishness too much good food too much spending money wasted. Many valuable things come easily. Can become popular easily but negatively others may resent or feel jealous because of beauty attractiveness or thinking everything comes easy. Reaching out too much to loved one taking on more than share of responsibility. PROCESS Expansion of ability to love.
SANDBACH Venus/Jupiter ACTIVATIONS,N/A,Interpretation,Planets activating Venus/Jupiter generous loving indulgent lavish affection,Sun=Venus/Jupiter feels important to be generous and loving self-esteem based on enthusiastically loving others or negatively on superficial beauty having money amassing treasures. Moon=Venus/Jupiter emotion expressed freely easily generously lavishly affectionate disposition emotional insecurity causes self-indulgence. Mercury=Venus/Jupiter alluring seductive flirtative when communicating give high praise to something ideas of beauty and value come easily. Mars=Venus/Jupiter assert self in way that charms others puts them at ease passion for indulging in luxuries.
COSMOBIOLOGY_SCHOOL,N/A,Historical,German midpoint astrology Ebertin Witte Hamburg School development,Midpoint astrology developed extensively by Cosmobiology school of astrology in Germany between World Wars. Revived ancient astrological technique. Key figures Reinhold Ebertin and Alfred Witte Hamburg School. System refined and systematized for modern use. Created comprehensive midpoint interpretations and calculation methods. Foundation for contemporary midpoint work.
MIDPOINT_FORMULA_NOTATION,N/A,Technical,Standard notation X equals Y slash Z aspect calculation,Standard midpoint notation uses X=Y/Z format where X is activating planet equals sign means forms hard aspect conjunction square opposition and slash between Y and Z indicates midpoint between those two planets. Example Venus=Sun/Moon means Venus forms hard aspect to midpoint of Sun and Moon. International astrological protocol for midpoint description.
PROCESS_VS_PRINCIPLE,N/A,Interpretation,Principle static meaning Process evolutionary development growth,PRINCIPLE describes static meaning of midpoint what it represents fundamentally. PROCESS describes evolutionary development and growth potential how midpoint energy transforms and develops over time through spiritual work. Both essential for complete understanding. Principle is what it is Process is what it becomes through conscious work.
